cod_departamento,departamento,ipm,si_ac_fu_ag,bsp_cpi,analfabetismo,ba_ac_se_sa,sin_ale_sal,hacinamiento_critico,ina_eli_exc,inasistencia_escolar,baj_log_edu,ma_in_pa_ex,mat_ina_pis,rezago_escolar,trabajo_infantil,cod_municipio,municipio,clase
"19","CAUCA","50,8","40,7","2,2","16,6","5,6","10,1","5,4","23,5","5,2","73,2","10,3","41,3","14,7","3,5","19473","MORALES","Resto",
"19","CAUCA","24,5","10,6","1,7","8,2","1,7","16","2,7","8,9","3,3","53,4","3,1","13,4","14,3","0,2","19513","PADILLA","Resto",
"19","CAUCA","59","16,8","3,5","19,9","5,4","15,1","7,6","35,9","7,9","75,9","2,9","54,4","23,8","5","19517","PAEZ","Resto",
"19","CAUCA","56,8","67","1,7","20","1,4","13,1","5,1","25,8","5,1","78,7","5,8","61,8","19,9","1,9","19532","PATIA","Resto",
"19","CAUCA","45,3","33,3","2,5","10,7","6,7","13","4,7","17,2","10,1","74,5","1,8","6,7","23","5,2","19533","PIAMONTE","Resto",
"19","CAUCA","35,3","8,1","1,2","15,6","3,6","9,1","5,9","18,5","4,8","71,8","6","22,6","10,9","2,6","19548","PIENDAMO - TUNIA","Resto",
"19","CAUCA","15,8","9,2","2,2","5,5","1,7","18,9","2,2","2,7","5,7","46,4","0,8","3,8","11,6","0,5","19573","PUERTO TEJADA","Resto",
"19","CAUCA","41,3","21,9","1,6","12,8","9,2","11,6","7,9","35","4,3","68,5","2","21,7","18","2,6","19585","PURACE","Resto",
"19","CAUCA","45,4","37,4","1,4","18,4","3,3","10,5","3,7","9,7","4","78,6","5,9","41,2","10,8","1,3","19622","ROSAS","Resto",
"19","CAUCA","48","20,4","1,2","14,6","5,6","8,9","6,3","20,2","4,8","76,8","0,2","75,6","13,2","2,2","19693","SAN SEBASTIAN","Resto",
"19","CAUCA","31,7","18,1","1,7","11,8","4,7","14,2","5,1","7,7","3,9","61,8","10,1","34,4","14,3","2,6","19698","SANTANDER DE QUILICHAO","Resto",
"19","CAUCA","69,8","37,4","1,8","12,8","31,3","16,4","8,5","67,8","6,1","76,5","1,9","29,8","26,8","3,7","19701","SANTA ROSA","Resto",
"19","CAUCA","48,2","21,8","3,2","20,6","6,5","11,4","8,8","39,1","5,4","72,9","1,1","42,4","18,6","5,5","19743","SILVIA","Resto",
"19","CAUCA","32,8","15,1","1,3","10","2,6","11,5","6,4","29,9","4,6","68,7","2,4","38,5","12,8","1,7","19760","SOTARA","Resto",
"19","CAUCA","50,6","71,8","2,7","13,8","6,1","12,1","5,2","20,2","8,2","74,6","1,8","42,5","14,4","3,9","19780","SUAREZ","Resto",
"19","CAUCA","80,4","78,8","0,9","22,3","1,9","7,3","4,8","42,5","5,1","79,3","1,1","88,9","17,5","0","19785","SUCRE","Resto",
"19","CAUCA","44","6,5","1,6","14,8","22,8","11,4","5,8","9,7","3,7","74,6","10,5","19,2","16,1","1,4","19807","TIMBIO","Resto",
"19","CAUCA","77,2","79,5","11","32,2","6,1","25,6","16,3","74,8","9","78,1","1","3,1","40,4","2,8","19809","TIMBIQUI","Resto",
"19","CAUCA","47","30,6","2,9","20,8","4,7","10,4","4,4","27,8","6,6","70,5","8,7","42,4","16,6","5,7","19821","TORIBIO","Resto",
"19","CAUCA","57","24,5","2,2","13,6","7,4","11,3","14,1","40,3","4,9","71,5","2,3","49,9","20,4","2,8","19824","TOTORO","Resto",
"19","CAUCA","20,2","33","1,6","5,8","2,8","17,7","3,3","8,7","2,7","45,3","1,5","8,3","10,5","0,5","19845","VILLA RICA","Resto",
